STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1236505 17/05/22 12   15.2   0.1  16.2
1236505 17/05/22 09   15.1   0.0  15.6
1236505 17/05/22 06   15.1  -0.2  15.8
1236505 17/05/22 03   15.3  -0.2  16.0
1236505 17/05/22 00   15.5   0.2  16.4
1236505 16/05/22 21   15.3   0.8  20.0
1236505 16/05/22 18   14.5   0.7  22.4
1236505 16/05/22 15   13.8   1.0  27.2
1236505 16/05/22 12   12.8  -0.5  28.7
1236505 16/05/22 09   13.3   0.1  12.8
1236505 16/05/22 06   13.2  -0.2   8.0
1236505 16/05/22 03   13.4  -0.3  10.2
1236505 16/05/22 00   13.7   0.2  13.2
1236505 15/05/22 21   13.5   0.9  19.8
1236505 15/05/22 18   12.6   0.9  27.5
1236505 15/05/22 15   11.7   0.7  29.1
1236505 15/05/22 12   11.0  -0.5  25.6
1236505 15/05/22 09   11.5   0.2  11.6
1236505 15/05/22 06   11.3  -0.1   7.0
1236505 15/05/22 03   11.4  -0.4   9.3
1236505 15/05/22 00   11.8   0.2  13.3
1236505 14/05/22 21   11.6   0.8  18.6
1236505 14/05/22 18   10.8   0.6  26.1
1236505 14/05/22 15   10.2   0.5  25.7
1236505 14/05/22 12    9.7  -0.7  23.5
1236505 14/05/22 09   10.4   0.2  10.8
1236505 14/05/22 06   10.2  -0.2   5.9
1236505 14/05/22 03   10.4  -0.1   8.2
1236505 14/05/22 00   10.5  -0.1  10.9
1236505 13/05/22 21   10.6   0.2  16.0
1236505 13/05/22 18   10.4   0.6  22.7
1236505 13/05/22 15    9.8   0.4  26.0
1236505 13/05/22 12    9.4  -0.2  24.4
1236505 13/05/22 09    9.6   0.0  15.0
1236505 13/05/22 06    9.6  -0.2  11.4
1236505 13/05/22 03    9.8  -0.2  12.1
1236505 13/05/22 00   10.0   0.0  14.5
1236505 12/05/22 21   10.0   0.3  18.9
1236505 12/05/22 18    9.7   0.5  22.8
1236505 12/05/22 15    9.2   0.1  24.7
1236505 12/05/22 12    9.1   0.1  20.4
1236505 12/05/22 09    9.0   0.2  17.8
1236505 12/05/22 06    8.8  -0.2  13.4
1236505 12/05/22 03    9.0  -0.2  13.8
1236505 12/05/22 00    9.2   0.2  18.0
1236505 11/05/22 21    9.0   0.8  22.0
1236505 11/05/22 18    8.2   0.7  27.5
1236505 11/05/22 15    7.5   0.4  30.1
1236505 11/05/22 12    7.1   0.1  28.1
1236505 11/05/22 09    7.0  -0.2  14.3
1236505 11/05/22 06    7.2  -0.2  11.1
